schedule	version_from	version_to	URL_en
1.1	20160705	20171005	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20160705.html#wb-cont
1.1	20171006	20171129	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20171006.html#wb-cont
1.1	20171130	20180620	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20171130.html#wb-cont
1.1	20180621	20180723	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20180621.html#wb-cont
1.1	20180724	20180926	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20180724.html#wb-cont
1.1	20180927	20181120	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20180927.html#wb-cont
1.1	20181121	20181212	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20181121.html#wb-cont
1.1	20181213	20190711	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20181213.html#wb-cont
1.1	20190712	20190714	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20190712.html#wb-cont
1.1	20190715	20190827	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20190715.html#wb-cont
1.1	20190828	20191119	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20190828.html#wb-cont
1.1	20191120	20191203	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20191120.html#wb-cont
1.1	20191204	20200116	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230497-20191204.html#wb-cont
1.1	20200117		https://laws-lois.justice.gc.ca/eng/acts/F-11/page-31.html#h-230498
2	20030101	20040331	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20030101.html
2	20040401	20051002	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20040401.html
2	20051003	20051211	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20051003.html
2	20051212	20060111	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20051212.html
2	20060112	20120929	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20060112.html
2	20120930	20130331	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20120930.html
2	20130401	20150531	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20130401.html
2	20150601	20180311	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20150601.html
2	20180312	20190710	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20180312.html
2	20190711	20190827	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20190711.html
2	20190828	20200116	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230506-20190828.html#wb-cont
2	20200117		https://laws-lois.justice.gc.ca/eng/acts/F-11/page-32.html#h-230507
3	20030101	20060331	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20030101.html
3	20060401	20061109	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20060401.html
3	20061110	20080409	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20061110.html
3	20080410	20080619	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20080410.html
3	20080620	20080809	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20080620.html
3	20080810	20101124	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20080810.html
3	20101125	20111130	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20101125.html
3	20111201	20121008	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20111201.html
3	20121009	20130306	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20121009.html
3	20130307	20130331	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20130307.html
3	20130401	20131211	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20130401.html
3	20131212	20140212	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20131212.html
3	20140213	20140618	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20140213.html
3	20140619	20150131	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20140619.html
3	20150201	20160707	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20150201.html
3	20160708	20170621	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20160708.html
3	20170622	20180925	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20170622.html
3	20180926	20181101	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20180926.html
3	20181102	20200116	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230529-20181102.html
3	20200117		https://laws-lois.justice.gc.ca/eng/acts/F-11/page-33.html#h-230530
4	20050401	20051002	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20050401.html#wb-cont
4	20051003	20051004	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20051003.html#wb-cont
4	20051005	20051211	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20051005.html#wb-cont
4	20051212	20060205	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20051212.html#wb-cont
4	20060206	20060420	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20060206.html#wb-cont
4	20060421	20060516	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20060421.html#wb-cont
4	20060517	20061025	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20060517.html#wb-cont
4	20061026	20061211	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20061026.html#wb-cont
4	20061212	20070414	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20061212.html#wb-cont
4	20070415	20080531	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20070415.html#wb-cont
4	20080601	20080701	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20080601.html#wb-cont
4	20080702	20081015	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20080702.html#wb-cont
4	20081016	20090301	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20081016.html#wb-cont
4	20090302	20090630	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20090302.html#wb-cont
4	20090701	20090812	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20090701.html#wb-cont
4	20090813	20090817	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20090813.html#wb-cont
4	20090818	20100826	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230577-20090818.html#wb-cont
